item,count
maxwel,14
bastard,2
nuhyeah,1
lightweight,1
coki,1
duhmadi,1
danold,3
homebox,3
fooba_wooba_grizzly_bear,1
mom_mom,9
mango,41
cookie_monster_walk_and_talk,1
brang,16
morgie_toy,1
detector,2
brand,105
dunt,7
mangi,3
motha,2
hibiscus,1
twelveth,2
cheery_eerieoh,1
nametag,1
duckuh,1
sl,23
camper,22
galleri,11
discov,57
campel,2
rigor,1
fortress,1
hoo_hoo_hoo_hoo_hoo,1
tinkywinki,6
precoci,1
urf,6
urg,4
laurent,1
urn,1
urh,1
ivori,43
tumtum,1
ordinarili,4
inde,62
malok,1
urv,2
inda,1
maloo,1
urr,7
ooba,1
holstein,3
johnny_on_the_spot,1
skunk,161
mungu,1
spleet,1
mocha,2
hoo_hoo,21
loadin,6
noodlenoodl,3
crate,29
bajemd,1
pisa,2
bub,14
passi,21
chocolate_tofu,1
quackquackquack,1
ottoman,8
pisc,3
passa,1
wumpkin,1
dobadabobabababadaba,1
cyril,9
nga,2
sheriff,20
bum_poop_a_doom_pa_da_doo_boom,1
tupti,21
ngo,1
be_boom,11
forev,177
rash,49
brighter,10
gugoy,1
libra,1
gadagg,1
darrick,3
mary_had_a_little_lamb,6
discontinu,1
wooster,1
peeder,1
lynner,1
telula,2
willimantic_chronicl,1
vill,1
moo_baa_la_la_la,4
captain_kangaroo,10
peter_luca,1
fa_fa_fa,1
antarct,1
pointiest,1
tappin,1
endless,4
gray,140
bestest,6
tobacco,10
gust,3
gras,1
meltin,2
grav,1
somebody'l,8
grah,1
zoomazoomzoomzoom,1
purpli,3
nutmeg,12
gush,7
gran,26
mr_cwww,5
tuner,7
grab,553
trucki,10
grae,1
widow,1
freezi,1
sliding_stair,1
jackpot,2
mh_mh_pataway,2
karduhn,1
terrain,7
kiduh,1
the_very_hungry_caterpil,1
elain,43
humpth,1
humpti,66
spotter,2
cowpoki,2
luckiest,3
arou,17
smog,4
atrayu,6
baa_b,1
tend,65
numer,4
scooti,1
tyre,5
tens,18
antler,18
illusori,1
tent,166
ken,107
kem,1
blinker,1
lion_fish,1
merri,411
wiggili,69
dum_ba,2
kee,26
ked,4
avid,1
blinkey,1
magn,1
key,949
twenni,1
figaro,8
dju,3
chidren,1
ket,1
baby_d_k_n_i,1
ker,3
kep,3
umyumyum,1
olgi,1
rochest,2
headin,2
sniff,25
buttah,2
olga,1
kincaid,1
yagagagag,1
admit,29
admir,12
klang,4
plankton,6
ami,121
mooshboosh,9
gite,1
christen,3
torn,46
doomdi,3
gita,22
wunch,3
tuesday,401
croco,1
moistur,18
suppertim,19
eveready_bunni,1
budgetari,1
yahbeyabeyadah,1
weathervan,7
balaton,1
mutsa,1
baoo,1
cologn,5
quit,1059
but_not_the_hippopotamus,1
slowli,163
pin,353
yau,2
speakin,1
yaw,8
sara,104
polka,46
yap,28
yas,1
quiz,6
yam,20
toddler_barney,2
yan,34
yai,29
yah,91
yak,27
keeken,1
yae,6
mister_balloon,1
marmot,3
quik,15
hernandez,1
y'haven't,2
dja_dja_dja_dja,1
fibber,1
spaniel,2
yadadada,1
kennywood,15
doctor_fooey,1
dontchu,7
chastis,1
nitch,8
greenboro,1
halley,5
hup_a_dup_a_dah,1
la_de_da_de_da_de_dum,1
wwanna,2
dontcha,51
bucki,12
pequot,1
bucko,2
buckl,170
dema,1
evelyn,17
bucka,1
fifferfefferfeff,3
click_clack,4
hunka,9
pumpa_lumpkin,1
scienc,77
kneelin,3
welcom,1036
tweezer,14
wawawawa,3
parti,1467
many_fac,1
rockwood,6
folklor,2
fido,3
zaaboo,1
mighty_might,1
peet,1
underground,23
strangl,6
undergroung,1
fidd,5
pshew,2
carnador,3
thornton_bird,2
high_ho_the_dairio_a_hunting_we_will_go,2
huntsman,9
powwow,1
momnster,1
mrow,2
sleeping_beau,2
vault,2
spree,1
magician,27
slepp,1
ashley,11
shalom,12
welk,1
north_pol,7
beyegigigigya,1
bott,1
poultri,5
grenad,1
rifl,18
chrah,5
dronk,1
dain,1
brodder,1
tootleloo,2
distanc,47
spastic,1
collectin,2
dyawanna,1
mistaken,16
dose,32
germin,2
bonnie_bright,1
distant,6
kangarangaroo,1
grassur,1
doss,2
splashum,1
jackal,1
parchment,1
juckbwuck,1
capuar,1
trudi,1
chasemor,1
stratus,2
jeff,98
shorelin,12
chick_chick,2
crocodil,214
eeeyowwwww,1
scratchier,1
oar,9
lego_land,1
howta,1
koyod,3
mamamamama,1
livin,32
scrub_a_dub,7
munich,2
livid,1
atamin,1
terramum,1
charmi,2
rochell,9
loss,4
lincoln,53
lost,1013
thump_thump_thump,1
corrod,2
liftin,1
fernando,5
clown,694
s_train,1
roti,3
strawbereri,2
irresist,1
choowhoo,1
oydah,1
soopi,1
dudududu,3
starri,8
cove_bas,1
rote,1
page,2353
corros,1
terrel,2
ambival,1
gillian,54
glare,6
dizurd,1
hydrofoil,1
didi,19
lailai,1
duduniniz,1
hush,112
husk,2
trucker,7
home,5257
peter,1944
librari,423
bantam,8
vitaxxx,1
wendi,91
broad,10
fanni,13
overlap,4
sploosh,1
alador,2
blackablaca,1
yukon,3
prerecord,1
tumir,2
individualist,1
forgit,1
journal,8
maginet,1
kipper,10
kvetch,1
nutshel,2
datcha,1
amy,21
auntie_elli,4
naeniboo,1
teepi,3
brodi,31
cackl,7
freedom,18
wellfleet,25
teepe,21
izzat,1
todeth,1
whoops_a_daisi,36
mudd,2
karla,3
rock_a_,4
ubb,2
jubile,3
dryin,3
tortur,16
washington,91
cocoa,141
tectagon,1
exercycl,2
miepj,4
couldnt,1
floboppi,1
hmmmmm,1
ahaha,2
each_oth,218
snacker,1
findow,1
weepi,12
neighhh,1
clicketi,41
suranian,2
wshe,1
weepe,3
squirmi,9
taiyo,6
north,160
snugglebug,1
triangular,5
chucky_wucki,2
astro,1
neutral,3
jillia,1
gain,17
gail,136
eap,1
eas,16
highest,29
dodedodedodedodeded,1
eat,17514
astra,39
ayooboo,1
pansi,8
myama,1
rumbl,35
alladin,1
fred_flinston,1
watter,4
withold,1
pippit,2
finding_nemo,1
zenaida,3
barbershop,1
indefinit,3
pippin,15
youn,1
solitair,1
display,11
flashin,1
ba_ba_ba,1
doopeedoo,1
strawber,1
evalu,3
aygiy,1
beatl,22
erin,309
what'dja,1
eril,1
baaaa,18
conan,3
erik,23
poopin,1
jamer,2
mccannon,1
draco,1
eric,837
grillo,1
pussycat,42
diego,1
bluebonnet,1
is'at,1
arra,2
rggg,1
humidifi,10
man_peng,12
starbuck,17
arri,1
honeygraham,1
a_b_c,10
spaiduhmaen,1
arrr,13
finch,6
talkin,483
deliverin,4
hatso,2
boursin,1
b_c,2
josephin,6
dori,15
faustus,1
bootieboosha,1
dewel,1
kuhguh,1
stay,4034
neeli,6
stag,3
foil,24
stab,15
stan,65
stal,1
speedomet,6
elisiah,2
spaguetti,1
dewey,13
spectacl,7
ch_ch_ch_ch_ch_ch_ch_ch_ch,2
shunt,3
tomcat,18
bishop,1
hnn,9
upsidedown,8
inser,1
baby_sunshin,2
bcu,2
kerplunki,2
agooh,1
lincoln_log,2
simpson,14
gazagg,9
damon,1
pardon,143
mackerel,18
knelt,3
biobiobio,1
whoopi,14
nottingham,3
unattach,2
asian,268
bibba,2
yukabuk,1
ladadadah,1
kah_buh_buh_buh_buh,2
whoope,7
negg,1
dalici,1
pasa,5
whose,1052
shulva,2
swam,77
auh,6
sorri,2442
swan,40
swak,4
aun,2
swat,29
aus,1
gyspi,1
buddi,409
abra,5
balul,7
sway,11
aestuh,1
reachin,17
lonesom,7
handin,5
vasi,28
tthere,1
underag,1
booooo,1
caffein,3
pide,1
old_mac_donald,3
voic,568
vase,54
fliluh,1
smach,1
smack,74
govern,6
oysterett,1
dominocus,4
vast,1
johnny_jump_up,7
cory'ha,1
fay_bruc,1
veryfin,2
howddya,1
frigat,1
herbert,6
coughin,6
rinni,17
dau_au,12
whirlwind,1
yodel_eh_hee_he,1
fixit,28
enti,1
nunchki,2
mootieboosh,3
gator,1
winder,2
tameka,1
depepebububoo,1
kidnap,9
fixin,59
kblash,2
wyatt,1
whaddw,1
jordon,7
wreck,141
orchestra,24
transcrib,47
yonder,7
spokesman,1
nonananu,1
whadda,28
haza,11
xiphia,5
whaddo,5
intimid,2
hazi,2
mee,12
med,4
meg,46
mea,6
doded,1
mem,2
seventh,56
meo,16
men,525
mei,6
mogways_gway,1
wode,1
met,214
mew,8
multipli,3
mes,2
wearabl,1
spiddi,1
pennsylvanian,1
mey,2
rapha,1
batmit,1
sedum,3
polyphenol,4
wooao,2
dru,1
paci,24
dri,1220
hokey,23
dro,3
dra,22
duditah,2
fleer,2
dre,3
cruso,3
kozand,1
joshua,114
nineti,172
spayd,1
slicer,3
togedd,1
aveno,1
weevil,1
asund,1
ninete,1
avenu,84
jungle_book,5
zuzz,2
ukuhukuhkuh,1
jujub,2
disillus,1
reguard,1
greystok,3
nuzzl,3
cassowari,11
k_b_toy,2
leaki,1
coona,1
detdetdet,1
concret,20
man'll,1
beelu,1
pung,1
dunston,4
strega_nona,1
schroeder,2
oscar,214
grabbin,7
warp,6
mrs_jwww,7
aguagah,1
berlin,1
warm,1104
adult,79
wari,5
ward,11
ware,5
berlic,2
unschedul,2
kraus,1
rook,2
room,4196
rooo,2
yadon,1
guist,1
humpi,1
blueberry_i,1
roof,398
bookshelv,1
neolog,1
beeser,8
saddi,3
hansel,22
darleen,3
hansen,1
root,110
merchant,5
climat,2
foodi,14
gaff,1
hunderd,1
aguaguagua,1
wollensak,13
dunni,1
frieda,3
da_da_da_da,4
construx,1
joann,37
joani,17
pogo,9
adadadadah,1
mcneil,1
banburi,8
fairer,1
confin,6
coldi,2
bleeah,1
gordon,117
corma,1
rahn,3
vicious,2
kael,3
becki,181
catapllia,1
ove,2
kargaroo,1
blanki,276
becka,7
cranappl,3
shaw,3
plier,98
attempt,6
mastodon,6
third,326
fungo,2
alcov,1
little_red_riding_hood,13
importannest,1
fungi,3
snowblow,1
thirt,1
nenuh,1
crack_a_doo,2
heft,1
indish,1
wus,1
unicycl,9
possib,1
belong,748
wut,5
gulp_gulp_gulp_gulp_gulp,1
wuz,4
lurp,2
drumlin,2
mumbl,38
lansin,2
wug,2
wuf,7
windshield,42
wun,4
nine_o_one_nine_o_two,1
dozzi,1
streamlin,3
wwww,2
gentl,623
onl,3
ambula,1
pshooo,1
chatti,10
improvis,7
miss_bolton,4
crew,20
gargoyl,4
friski,12
persist,6
crea,3
schmidt,14
this_little_piggi,4
anin,1
anim,3369
therapi,8
dadoodoo,1
anih,1
mhuhhuh,1
promin,2
boopbudadada,1
pretect,2
overestim,1
unthink,1
caterpillar,1652
promis,255
poop_poo,1
chubbo,3
runni,94
astor,1
polliwog,2
mear,1
backbone'd,1
meat,973
batit,1
boopi,3
mounta,1
rosemari,17
lofti,6
bonk,234
boni,13
briani,2
bono,2
mead,1
roast,157
parasuralulafalafalus,2
preparin,1
aguhraderardgah,1
bong,52
side,2509
bone,616
mean,6956
gunni,2
yabber,1
batik,8
awri,2
navi,30
aida,19
ligh,1
milan,1
galena,3
forgot,1185
bombombombombombombombom,1
chioo,3
incomprehens,1
squea,7
velvet,8
squee,7
crucial,1
waaaaaa,1
bunkhous,7
soapiest,1
ararararararararar,1
manda,7
reader,42
aphth,1
audac,1
mandi,450
tashi,1
brochur,1
chimpanze,21
brrm,24
wooki,1
cutest,25
whiff,3
tasha,33
momart,1
situat,111
infin,43
lila,5
griffiton,1
super_o,2
dis'll,1
super_m,1
infit,1
jackman,2
slammin,1
cutesi,1
brrr,13
new_york,103
welfar,1
sunshin,113
monsters_i,1
shush,18
leila,49
fleck,1
chikaboo,1
thunder_wood,3
akiba,1
sisuh,1
dahdadadadadahda,1
hehem,1
montessori,7
malpractic,2
duval,1
twenty-two,1
rhinostro,1
headway,1
south_america,1
buttock,1
unlik,10
naughti,189
bionic,7
homok,1
quibbl,1
ehaehaehaeha,1
dahnul,1
tooka_tooka_doo,1
macram,5
dwelt,1
excellen,5
acquaint,3
mondani,1
sometim,1781
sometin,3
canada_dri,1
nonp_c,1
xxxin,1
dwell,2
hollywood,8
outag,1
piepi,6
rockaby,11
vagi,4
gweniv,2
carolina_wren,1
gym,174
doode,6
gohead,5
bath_bubble_dora,1
oo-oo-oo-oo,4
obnoxi,5
osc,4
gerad,1
adadadoh,1
helen,129
gretchen,10
digg,1
gambler,9
phhhhh,1
driveway,59
body-,1
i_c_u,1
wantsa,1
d'ya,58
cellphon,5
rodia,1
street,1108
doong,5
chitty_chitty_bang_bang,1
uncle_gwww,1
boing_bo,1
beginn,2
mini,20
mink,3
abov,284
ichabod,15
quench,3
mina,4
modern,28
mind,741
mine,2874
ginger,129
ming,1
seed,475
batbil,5
wawawawawa,1
sammir,1
seen,1457
seem,679
sweet_william,1
seek,72
minu,3
unfasten,2
scaper,1
yoey,1
abbdar,1
mooshaboosh,30
hwoo,4
gabriell,1
bengal,1
gabriellla,1
sleeper,32
lopsid,8
alkaseltz,2
hoohoohoo,1
susan_baxt,1
trundl,2
wowowowa,1
slaveri,1
dee-de,3
hida,1
catapitt,1
abella,1
charlie_brown,9
chachacha,1
greifrut,1
marin,3
rabinowitz,1
abcd,4
regular,275
carnator,3
masher,4
sweet_pea,1
underprivileg,1
oink_oink_oink,10
maria,110
zealand,17
dok,1
doh,48
doi,2
don,282
doo,709
dol,1
dom,19
nenunun,1
doc,64
alarm,68
m,1405
dog,5066
dod,1
doe,15750
doz,10
solemn,3
doy,1
pumpki,5
dor,3
mushi,64
boin_boin_boin_boin,1
scotch,50
dow,50
dot,249
kristen,54
probl,2
hunger,1
sprocket,2
wherewher,1
probe,5
ayah,6
syntax,1
shoelac,36
gillow,2
chord,2
sown,1
nopburpbababababobaba,1
hambugah,1
loley,5
celeri,103
northeast,3
cumberland,1
doot_doot_doo_da_dee_doo,1
explain,196
jailer,1
sugar,1055
uhhmm,1
wanchur,1
dee_dee_de,2
folks,1
maryann,31
carbona,1
ding_dong,2
nyep,2
monica,8
what'did,1
patter,50
oydaoyda,1
morsel,3
conduct,5
tetrabelodon,1
dyomp,3
pockowait,2
coast,18
pallett,1
topham,21
watermelon,356
secon,28
nyeh,1
oobooboo,2
saturn,23
punh,1
earl,26
earn,26
aahbai,2
frischburg,2
scandanavian,1
hatchin,1
joshua_lastnam,2
griller,1
disco,20
en_toy_poe_gub,1
reload,1
troop,8
barred_thingi,2
eeeeeyow,1
elsa,5
enchant,22
giraff,600
skat,4
ewuh,1
clustard,1
vampir,30
pretz,1
dukadoong,4
couf,1
carolyn,10
prete,1
premeasur,1
fluffi,56
subject,28
pete,722
apticar,12
arahrah,1
aentne,3
habugubuh,1
izzi,24
l_a,10
thpt,3
winfield,6
simplest,2
shurietap,1
o'brian,1
baboon,20
bunzy_be,1
practicin,6
gruyer,2
prodomi,2
warrior,17
oma,15
triplet,3
ome,3
cowlf,2
physicist,1
lotion,108
lazi,107
blitzen,35
akarsz,2
beautician,4
boolaboole,1
cousin,367
motto,3
boolaboola,1
shondel,2
wilbu,1
weari,3
urld,1
folli,6
unt,1
witsi,1
yanke,11
janitor,6
baugh,8
against,327
yahwey,1
puffin,9
unc,5
und,3
imprevu,2
chicka_boom_boo,1
unh,81
studio,26
unk,1
unm,1
epilept,2
runt,14
funshin,1
nikki,18
nilli,6
whus,1
forag,1
yaar,2
whup,2
kooshbal,7
height,17
sah,5
arsenio,6
manante,1
quinc,2
rainer,1
accustom,4
copycat,1
beca,8
nicer,72
havin,195
tummyach,10
cup_a_soup,1
parsley,28
airoport,1
cyrus,1
ting,21
tine,1
trigger,3
basia,1
interest,1032
basic,80
basil,21
basin,4
queekola,1
tink,1
idoo,2
tini,1082
zacheri,2
chug,307
chub,2
deeper,15
brrrroom,1
d_do_dee_do_dee_do,1
dadaedada,1
dismiss,5
chuh,7
synagogu,1
bediebyeboo,1
chur,1
chup,3
schoolwork,1
mumum,1
retel,3
lionel,9
ugli,236
init,2
leappad,2
servin,2
wadn't,2
servic,79
gasolin,33
agagagagagagagaga,1
hahaha,62
occas,9
pheob,18
hooligan,6
brushbrush,4
seven,1643
cane,61
du_du_du_du_du_du_dut_du_du,1
my_god,1
cano,38
mouss,5
faker,13
cani,1
mousi,76
cant,9
moomilk,23
granma,32
sar,3
rroom,1
sever,81
woowoo,13
abscess,1
belli,688
maki,2
parish,1
make,19016
ponderosa,1
bella,1
stickier,1
snowfal,2
jumprop,3
heehawheehaw,1
dadadadadadoda,1
panacka,28
winterfest,1
outstretch,1
elli,86
kix,16
scaveng,3
ella,19
kip,168
gada,1
kiu,3
kit,233
delight,36
meeta,1
garlic,107
kin,75
kim,427
unicorn,73
merni,1
winga,4
kid,2855
butter,1206
unbuckl,23
zazaza,1
presto,4
roommat,9
inherit,3
bedspread,7
flopp,5
programm,2
nathaiel,1
bloomer,12
marta,1
yei,8
yeh,892
agoo,1
choomoomoo,1
protocol,1
yel,4
firstnam,4
charlott,45
yea,595
nowaday,4
blessin,3
yee,13
kieran,4
pucil,1
yey,12
depict,1
human,131
sheenan,1
yep,3520
yes,19983
yer,297
yet,2528
languag,177
clipetyclop,1
nehez,1
grumblin,3
krowder,1
kaepooaer,1
whuht,1
royal,37
stomper,6
amara,6
janett,1
clarabell,5
save,690
busytown,2
applic,4
infantil,1
dreami,2
cousin_ywww,1
tatawassa,1
boysenberri,3
tabith,1
booger_nos,2
feeti,21
pwchh,1
julia,239
taki,7
dreamt,15
strap,96
illiter,1
hatchback,1
shoulder,205
obstin,2
nudi,4
stran,2
nudg,6
nude,10
porcupin,200
boinka,9
kaepluhmp,1
replug,1
vigyazz,2
do_didoo_di_doo_doo,1
goldilock,95
hmming,1
angelfish,2
unnecessari,5
wupz,1
nudiep,1
appledumpl,22
joy_joy,2
greenland,1
dean,44
strai,1
deal,290
interv,1
patty_caki,1
deaf,17
somehow,69
maxin,12
eep,1
intern,6
innuendo,1
ees,1
dear,1204
abub,1
interf,1
manifest,1
ah_boo,1
nodor,1
chippi,1
itsy_bitsy_spid,3
jenko,25
reh_reh_reh_weh_weh_weh,1
chimley,1
seargeant,1
numma,2
george_washington,19
overcook,4
nummi,41
raraaa,1
creatur,174
sue_and_jan,2
y'like,2
kerboom,1
o'fin,1
popular,19
gustus,1
unreason,3
robbie_the_robot,1
xylocain,1
wept,2
f_one,3
oreo,64
jwit,1
ba_doo_ba_doo,1
yogurti,21
tha'sa,1
choochoo,14
afternoon,410
hwhuhh,1
marshal,6
kukabear,10
zevenburgen,4
thinner,11
c'm,1
whatr,2
tastier,2
contriv,1
delkalb,1
hoppity_hop,12
wappelo,1
down,20442
slurp,35
whate,1
whatd,1
whata,61
jenn,10
jene,2
whati,11
dowa,9
ding_a_l,1
chitter,1
shortstop,1
cryey,1
navuh,1
clappin,4
ram_man,1
editor,2
fraction,1
peektur,1
valedictori,1
tige,2
analysi,2
creation,8
prettili,2
ethi,2
lowa,5
n_r_e,1
batman,196
doogeedah,1
sickest,1
hwoop,4
mhmmm,1
zezezzen,1
mhmmp,1
jen-,1
diaper,1489
yuhk,1
coney,5
dumdedumdedum,1
diapey,3
spiki,9
raincloud,1
urgent,17
zshee,1
splittin,2
yorktown,1
whiskey,9
oinkoinkoink,2
lauper,3
eliott,2
whisker,77
dadadeh,1
mixabl,1
featur,8
semicolon,3
ahummamum,1
petit,7
gianticus,1
motorbik,11
boingi,6
thunk,1
brushu,18
glanc,3
treadmil,13
aaachoo,1
plastici,1
mustang,2
morgie_ma,1
holla,1
grabbi,14
beezer,1
rs,7
anyday,2
commemor,1
communic,29
ana'l,1
blaah,1
aunti,413
unlimit,1
bug_a_bug_a_bug_a,4
budder,1
monosyllab,1
avwah,1
ridi,1
garland,13
handicap,2
dirk,8
moun,1
parenthood,1
frodo,1
journey,137
dacron,1
brrroom,1
weekend,374
russo,1
nixi,4
femal,101
unuhh,1
potato,1055
fsh,1
potata,6
pseudo,2
connecticut,25
jacket,519
gorilla,199
ignor,82
badi,5
teeth,1719
happy_m,1
cool_it,1
d_p_i,1
cessna,1
umyumyumyum,1
jermiah,1
couldju,2
those'l,10
cuttin,20
ayayaya,2
eldest,3
gutch,5
twansmitt,1
customari,2
little_red_hen,1
those'r,9
clarey,1
pabla,1
stayov,2
evrysin,1
drumdedrumdedrum,1
rancer,1
loch,1
depend,97
lemonad,97
marissa,29
chanker,2
father,814
burnous,1
hurtin,27
weebrout,1
s'that,2
petersburg,1
hoobi,1
chequ,4
gaet,2
teton,2
ch_ch_ch,3
itisuh,1
md,2
snowstorm,2
dededeh,1
lisen,1
unmouth,1
unna,2
wipin,16
merit,1
ogoo,1
ma,734
jettison,1
bubblici,2
swizzl,2
mc,5
democrat,5
heach,4
hooray,212
item,29
hoit,2
ding_a_ling_a_ling_a_l,3
candelabra,1
u_c_l_a,2
mess_up,1
stiffer,2
round,1286
rahjaj,1
it'll,1278
ababoo,1
mn,6
white_sox,1
camelot,1
dodo,22
wuwuuu,1
announcuh,1
bwack,3
asham,19
currant,2
talker,14
hazzard,2
yoda,44
stealer,4
kawkaw,1
filler,3
rum,46
a_c_moor,2
bass,17
suspect,9
adda,16
tyin,18
rektaengahl,1
unbah,1
gazebo,1
reoccur,1
kokei,1
tewksburi,1
deriv,2
dweller,3
ya'd,1
meeko,4
mazagin,1
rainbow_brit,7
dwarv,28
shoom,3
derik,22
coincid,9
cha_cha_cha,10
oiye,1
box,4750
boy,9287
data_da_ta_da,1
insan,12
cuckoo,72
invit,221
bop,46
shift,38
bor,4
bos,3
bot,10
ohoho,2
mortim,2
bow,373
boh,1
boi,3
bok,68
bom,32
bon,8
boo,1319
raccoon,144
extrem,22
bob,391
shook,73
bod,1
larrer,1
bof,1
bog,15
elect,16
aidan,3
sheddin,1
activ,64
rhinocero,160
rhinoceri,1
kayak,13
dracaena,1
great_scot,1
united_kingdom,1
daydaydayday,1
frederika,1
transplant,1
baet,1
dudh,1
ayo,1
gonzo,33
wealth,2
eeryth,1
aye,22
smackerel,3
ayg,1
univers,67
visit,739
swed,1
lord'ha,1
vineyard,6
guguyah,1
splitsplacksplash,1
somersault,86
tooc,1
ahhh,9
chief_seattl,1
yoghurt,69
dudu,1
ahha,1
bwww,42
jenessa,16
robi,1
booboosha,1
chico_and_the_man,1
yihe,1
debono,2
rolls_royc,1
robe,36
demolish,2
moccasin,4
dragi,1
beefoot,1
bossiest,2
minneapolis_st,2
imped,1
cobber,3
aensisaetyorfren,1
nearest,37
genesi,7
kenneth,9
edna,54
winston,5
fuck,41
nnitz,1
we'regonna,1
groucho,6
grouchi,66
prrrrrrr,1
council,10
old_happy_the_clown,1
grraarr,1
lordi,5
ma-,1
frequenc,8
parch,3
tearin,12
fishier,1
larress,2
lady_bump,1
map,209
mas,1
mar,66
mau,3
mat,282
maw,4
sna,8
may,1705
max,586
taus,1
maa,12
mac,13
gip_guiding_and_a_gay,1
mae,14
mad,761
mag,28
mai,11
mah,29
tablecloth,59
mam,94
mal,1
man,3686
santy_claus,1
noun,16
neck,679
johnson,33
repuls,1
ererbooboo,1
gestan,2
mchugh_matt,1
sadiksha,4
tale,50
refrigera,1
tala,1
deposit,1
unleash,1
basket,842
tall,792
purifi,1
growlin,2
talk,6964
fyoo,1
la_dee_da_dee_dum_la_de,1
doji,5
shield,32
schwartz,4
amamamamama,1
whensh,1
lyric,3
mama'ha,3
pitch,37
peroxid,2
equip,78
peterson,1
shaki,70
o'c,1
dana_le,2
sessalg,1
iiii,1
interspers,1
group,333
monitor,17
boo_boo_boo_boo_boo_boop,1
polici,1
porcupi,1
startrek,2
sixpenc,9
jabbin,1
groun,3
chlorox,1
automobil,12
krueger,2
succul,2
u_v_b,1
lunch,1913
u_v_a,1
giampa,1
safari,25
bwuhbwuhbwuhbwuh,1
puzzletown,5
naugh,3
teller,16
rattler,2
trombon,17
malnutrit,1
ancestor,2
ta_ta_ta,1
feverish,1
piezl,2
ferian,4
leda,1
work_out_barbi,1
y'wanna,21
careless,14
massachusett,63
ledg,18
rock,1629
doesn't--,1
hijack,1
unquot,1
purpley,2
motherland,1
yeahhuh,13
eyelid,9
swearin,2
zaboo,1
raarh,1
zoch,2
continu,83
juuh,3
unlock,58
chi_chi,3
blassin,1
surcharg,1
babysitt,54
conting,1
canada,45
jackson,46
stitch,36
us'll,1
ruhpuh,1
meltdown,7
valdez,2
alistair,1
priest,4
pamela,4
pock,7
poch,3
dutch,60
saurus,2
sensor,3
wisest,7
romanc,1
goth,1
diseas,18
landlord,1
tim_tim,1
bugguh,2
orr,1
headlin,1
dirig,1
ajax,2
ajay,2
zombi,8
romant,7
deedle_deedle_deedle_de,3
triangl,593
ord,2
cough,402
keith,83
captain_rick,3
jonastina,1
funki,15
befor,3380
waiter,15
cheerlead,8
doseydoseydo,1
thing,12271
thine,5
greenhous,2
rick_golden,2
jános,2
principl,10
think,27564
frequent,7
first,5756
mbthl,1
zzzzzzzzz,1
cheesa,1
nwich,1
daebah,1
rachel,357
cheesi,33
crib,297
closin,13
shipyard,1
wingin,1
hurry_up,1
ohohohohohohoho,1
beddybi,2
pillsburi,3
cris,2
fieri,2
ambuhl,1
huhmm,1
mokieboki,1
monchichi,1
fierc,20
garden_fairi,5
allsberg,1
son_ababa,1
chuck_jon,3
ups_a_,1
saturaday,2
penelop,10
murki,2
proposit,1
blinken,1
roseann,1
mermaid,56
bobo,84
amim,1
buhloon,1
deafer,2
ysay,5
in't,1
eyey,1
witski,6
agagaga,3
buth,2
memi,1
meringu,8
broadcast,2
gaudi,9
osteopath,1
butt,130
pukki,3
little_mermaid,3
streaker,1
burbl,3
xxx--,1
messiest,2
owa,2
my_baby_and_me_story_b,1
soohoh,1
dum_diddy_dum_diddi,2
snoozer,4
boole,1
chocolate_chip,1
way_up,6
remors,2
martin_luther_k,1
porcelena,3
lullaby,4
lick,368
pastri,6
callerpillar,4
peter_rabbit_book,1
nadoodoodoo,1
lice,5
katie'l,3
lullabi,16
rees,3
comedian,7
stubbi,2
vonda,1
sa_sa_sa,2
duwaga,1
sherbert,7
kevin,81
cassandra,25
squaw,2
squat,7
burnin,16
squar,927
daredevil,6
glappen,2
rrmm,1
purest,1
wretch,3
bailey,23
squak,1
allsburg,1
incoher,1
shcoop,3
dormitori,1
haeha,1
tober,2
betw,1
bett,8
lo_lo,1
dexter,145
zigzag,9
whizz,2
aloud,11
assault,2
nolan,3
wahwahwah,14
sunglass,82
billow,3
josina,4
yepn,1
beth,47
woooo,3
sutton,8
katona,1
pathet,7
gargar,1
snappin,3
bangin,20
he_played_one_he_played_knick_knack_on_my_thumb_with_a_knick_knack_paddy_whack_give_the_dog_a_bon,1
pwe,1
adededed,1
scowl,4
lenni,10
adededeh,2
reed,5
honda,3
shop,605
shor,1
shot,319
shou,30
shov,2
show,6033
wrigg,6
howdeedu,1
undar,1
corney,4
mama'l,18
shod,1
shoe,3539
mama'i,1
howdeedo,1
corner,675
takin,213
shoo,75
enthusiast,4
fend,1
infield_avenu,1
dice,69
fenc,546
treasuri,3
dick,75
pegger,1
plumb,5
specialti,2
bonki,6
rumplestiltskin,2
huguh,1
stormi,8
bonka,16
enthusiasm,4
nanny_cwww,1
sammymi,2
plump,10
ges,4
ger,2
get,43740
con't,1
stomp,91
what'da,1
paolo,2
hailey,1
broomer,2
gee,305
ged,1
nyaump,1
washoo,1
gei,2
geh,1
gen,9
gem,23
gel,2
sideway,80
woo_oh,1
headphon,1
colossus,1
malaysian,1
sum,24
wuoh,5
georgianna,1
illi,1
nostril,4
te_te_te_te_t,1
vito,1
with_a_knick_knack,1
chickade,26
esplanad,2
trilog,6
sear,43
banshe,1
menac,3
seat,1035
fang_vwang_vang_vang_vang,1
sean,261
peoni,3
seal,224
squidward,1
wonder,1744
infinit,1
kerplat,4
cicus,3
sleepin,136
